Instruction,Operands,μops fused domain,μops unfused domain,µops each port,Latency,Reciprocal throughput
BLENDPS/PD,"x,m,i / v,v,m,i",2,2,p015 p23,,0.5
BLENDVPS/PD,"x,x,xmm0",1,1,p015,1,1
BLENDVPS/PD,"x,m,xmm0",2,2,p015 p23,,1
VBLENDVPS/PD,"v,v,v,v",2,2,2p015,2,1
VBLENDVPS/PD,"v,v,m,v",3,3,2p015 p23,,1
MOVDDUP,"v,v",1,1,p5,1,1
MOVDDUP,"v,m",1,1,p23,3,0.5
VBROADCASTSS,"x,m32",1,1,p23,2,0.5
VBROADCASTSS,"y,m32",1,1,p23,3,0.5
VBROADCASTSS,"x,x",1,1,p5,1,1
VBROADCASTSS,"y,x",1,1,p5,3,1
VBROADCASTSD,"y,m64",1,1,p23,3,0.5
VBROADCASTSD,"y,x",1,1,p5,3,1
VBROADCASTF128,"y,m128",1,1,p23,3,0.5
MOVSH/LDUP,"v,v",1,1,p5,1,1
MOVSH/LDUP,"v,m",1,1,p23,3,0.5
UNPCKH/LPS/D,"x,x / v,v,v",1,1,p5,1,1
UNPCKH/LPS/D,"x,m / v,v,m",1,2,p5 p23,,1
EXTRACTPS,"r32,x,i",2,2,p0 p5,,1
EXTRACTPS,"m32,x,i",2,3,p4 p5 p23,5,1
VEXTRACTF128,"x,y,i",1,1,p5,3,1
VEXTRACTF128,"m128,y,i",2,2,p23 p4,6,1
INSERTPS,"x,x,i",1,1,p5,1,1
INSERTPS,"x,m32,i",2,2,p23 p5,4,1
VINSERTF128,"y,y,x,i",1,1,p5,3,1
VINSERTF128,"y,y,m128,i",2,2,p015 p23,5,0.5
VMASKMOVPS/D,"v,v,m",2,2,p015 p23,3,0.5
VMASKMOVPS/D,"m128,x,x",4,4,p0 p4 p23,13,1
VMASKMOVPS/D,"m256,y,y",4,4,p0 p4 p23,13,1
VGATHERDPS,"x,[r+s*x],x",4,4,p0 p1 p23 p5,12,4
VGATHERDPS,"y,[r+s*y],y",4,4,p0 p1 p23 p5,13,5
VGATHERQPS,"x,[r+s*x],x",5,5,p0 p1 p23 p5,,2
VGATHERQPS,"x,[r+s*y],x",4,4,p0 p1 p23 p5,,4
VGATHERDPD,"x,[r+s*x],x",5,5,p0 p1 p23 p5,,2
VGATHERDPD,"y,[r+s*x],y",4,4,p0 p1 p23 p5,,4
VGATHERQPD,"x,[r+s*x],x",5,5,p0 p1 p23 p5,,2
VGATHERQPD,"y,[r+s*y],y",4,4,p0 p1 p23 p5,,4
CVTPD2PS,"x,x",2,2,p01 p5,5,1
CVTPD2PS,"x,m128",2,3,p01 p5 p23,,1
VCVTPD2PS,"x,y",2,2,p01 p5,7,1
VCVTPD2PS,"x,m256",2,3,p01 p5 p23,,1
CVTSD2SS,"x,x",2,2,p01 p5,5,1
CVTSD2SS,"x,m64",2,3,p01 p5 p23,,1
CVTPS2PD,"x,x",2,2,p01 p5,5,1
CVTPS2PD,"x,m64",1,2,p01 p5 p23,,0.5
VCVTPS2PD,"y,x",2,2,p01 p5,7,1
VCVTPS2PD,"y,m128",1,2,p01 p5 p23,,0.5
CVTSS2SD,"x,x",2,2,p01 p5,5,2
CVTSS2SD,"x,m32",1,2,p01 p5 p23,,2
CVTDQ2PS,"x,x",1,1,p01,4,0.5
CVTDQ2PS,"x,m128",1,2,p01 p23,,0.5
VCVTDQ2PS,"y,y",1,1,p01,4,0.5
VCVTDQ2PS,"y,m256",1,2,p01 p23,,0.5
CVT(T) PS2DQ,"x,x",1,1,p01,4,0.5
CVT(T) PS2DQ,"x,m128",1,2,p01 p23,,0.5
VCVT(T) PS2DQ,"y,y",1,1,p01,4,0.5
VCVT(T) PS2DQ,"y,m256",1,2,p01 p23,,0.5
CVTDQ2PD,"x,x",2,2,p01 p5,5,1
CVTDQ2PD,"x,m64",2,2,p01 p23,,0.5
VCVTDQ2PD,"y,x",2,2,p01 p5,7,1
VCVTDQ2PD,"y,m128",1,2,p01 p23,,0.5
CVT(T)PD2DQ,"x,x",2,2,p01 p5,5,1
CVT(T)PD2DQ,"x,m128",3,3,p01 p23 p5,,1
VCVT(T)PD2DQ,"x,y",2,2,p01 p5,7,1
VCVT(T)PD2DQ,"x,m256",2,3,p01 p23 p5,,1
CVTPI2PS,"x,mm",2,2,p0 p1,6,2
CVTPI2PS,"x,m64",1,2,p01 p23,,3
CVT(T)PS2PI,"mm,x",2,2,p0 p5,7,1
CVT(T)PS2PI,"mm,m128",2,2,p0 p23,,1
CVTPI2PD,"x,mm",2,2,p01 p5,5,1
CVTPI2PD,"x,m64",1,2,p01 p23,,0.5
CVT(T) PD2PI,"mm,x",2,2,p01 p5,5,1
CVT(T) PD2PI,"mm,m128",2,3,p01 p23 p5,,1
CVTSI2SS,"x,r32",2,2,p01 p5,6,2
CVTSI2SS,"x,r64",3,3,p01 2p5,7,2
CVTSI2SS,"x,m32",1,2,p1 p23,,3
CVT(T)SS2SI,"r32,x",2,2,2p01,6,1
CVT(T)SS2SI,"r64,x",3,3,2p01 p5,7,1
CVT(T)SS2SI,"r32,m32",3,3,2p01 p23,,1
CVTSI2SD,"x,r32/64",2,2,p01 p5,6,2
CVTSI2SD,"x,m32",1,2,p01 p23,,2
CVT(T)SD2SI,"r32/64,x",2,2,p0 p1,6,1
CVT(T)SD2SI,"r32,m64",3,3,2p01 p23,,1
VCVTPS2PH,"x,v,i",2,2,p01 p5,5-7,1
VCVTPS2PH,"m,v,i",3,3,p01 p4 p23,,1
VCVTPH2PS,"v,x",2,2,p01 p5,5-7,1
VCVTPH2PS,"v,m",1,2,p01 p23,,1
ADDSS/D PS/D,,,,,,
SUBSS/D PS/D,"x,x / v,v,v",1,1,p01,4,0.5
ADDSS/D PS/D,,,,,,
SUBSS/D PS/D,"x,m / v,v,m",1,2,p01 p23,,0.5
ADDSUBPS/D,"x,x / v,v,v",1,1,p01,4,0.5
ADDSUBPS/D,"x,m / v,v,m",1,2,p01 p23,,0.5
HADDPS/D,,,,,,
HSUBPS/D,"x,x / v,v,v",3,3,p01 2p5,6,2
HADDPS/D,,,,,,
HSUBPS/D,"x,m / v,v,m",4,4,p1 2p5 p23,,2
MULSS/D PS/D,"x,x / v,v,v",1,1,p01,4,0.5
MULSS/D PS/D,"x,m / v,v,m",1,2,p01 p23,,0.5
DIVSS,"x,x",1,1,p0,11,3
DIVPS,"x,x",1,1,p0,11,3
DIVSS DIVPS,"x,m",1,2,p0 p23,,3-5
DIVSD,"x,x",1,1,p0,13-14,4
DIVPD,"x,x",1,1,p0,13-14,4
DIVSD DIVPD,"x,m",1,2,p0 p23,,4
VDIVPS,"y,y,y",1,1,p0,11,5
VDIVPS,"y,y,m256",1,2,p0 p23,,5
VDIVPD,"y,y,y",1,1,p0,13-14,8
VDIVPD,"y,y,m256",4,4,p0 p23,,8
RCPSS/PS,"v,v",1,1,p0,4,1
RCPSS/PS,"v,m",1,2,p0 p23,,1
CMPccSS/D,,,,,,
CMPccPS/D,"x,x / v,v,v",1,1,p01,4,0.5
CMPccSS/D,,,,,,
CMPccPS/D,"x,m / v,v,m",2,2,p01 p23,,0.5
(U)COMISS/D,"x,x",1,1,p0,,1
(U)COMISS/D,"x,m32/64",2,2,p0 p23,,1
MAXSS/D PS/D,,,,,,
MINSS/D PS/D,"x,x / v,v,v",1,1,p01,4,0.5
MAXSS/D PS/D,,,,,,
MINSS/D PS/D,"x,m / v,v,m",1,2,p01 p23,,0.5
ROUNDSS/D PS/D,"v,v,i",2,2,2p01,8,1
ROUNDSS/D PS/D,"v,m,i",3,3,2p01 p23,,1
DPPS,"x,x,i / v,v,v,i",4,4,3p01 p5,13,1.5
DPPS,"x,m,i / v,v,m,i",6,6,3p01 p23 p5 p6,,1.5
DPPD,"x,x,i",3,3,2p01 p5,9,1
DPPD,"x,m128,i",4,4,2p01 p23 p5,,1
VFMADD...,,,,,,
(all FMA instr.),"v,v,v",1,1,p01,4,0.5
VFMADD...,,,,,,
(all FMA instr.),"v,v,m",1,2,p01 p23,,0.5
SQRTSS/PS,"x,x",1,1,p0,12,3
SQRTSS/PS,"x,m128",1,2,p0 p23,,3
VSQRTPS,"y,y",1,1,p0,12,6
VSQRTPS,"y,m256",4,4,p0 p23,,6
SQRTSD,"x,x",1,1,p0,15-16,4-6
SQRTPD,"x,x",1,1,p0,15-16,4-6
SQRTSD/PD,"x,m128",1,2,p0 p23,,4-6
VSQRTPD,"y,y",1,1,p0,15-16,9-12
VSQRTPD,"y,m256",4,4,p0 p23,,9-12
RSQRTSS/PS,"v,v",1,1,p0,4,1
RSQRTSS/PS,"v,m",1,2,p0 p23,,1
AND/ANDN/OR/,,,,,,
XORPS/PD,"x,x / v,v,v",1,1,p015,1,0.33
AND/ANDN/OR/,,,,,,
XORPS/PD,"x,m / v,v,m",1,2,p015 p23,,0.5
VZEROUPPER,,4,4,none,,1
VZEROALL,,25,25,p0 p1 p5 p6,,12
VZEROALL,,34,34,p0 p1 p5 p6,,12
LDMXCSR,m32,4,4,p0 p5 p6 p23,5,3
STMXCSR,m32,3,4,p0 p4 p6 p237,5,2
FXSAVE,m4096,106,,,78,78
FXSAVE,m4096,136,,,64,64
FXRSTOR,m4096,105,,,76,76
FXRSTOR,m4096,121,,,77,77
XSAVE,,247,,,107,107
XSAVE,,304,,,107,107
XRSTOR,,257,,,122,122
XRSTOR,,257,,,122,122
XSAVEOPT,m,168,,,74,74
